sentence1,sentenceid1,docid1,sentence2,sentenceid2,docid2,sentence3,sentenceid3,docid3,sentence4,sentenceid4,docid4,sentence5,sentenceid5,docid5
"We may allow third-parties , including our authorized service providers , advertising agencies and marketing partners to use tracking technologies , such as cookies and web beacons , to collect non-personal information about your visits to this and other web sites .",21866,204,"This information generally enables them to track and gauge the effectiveness of our web site and of various marketing campaigns and to serve ads about goods and services that may be of interest to you when you visit other web sites across the Internet .",21867,204,"We may use the information we collect about you to respond to your requests for information ; to deliver the products and services you have requested ; to manage your account and provide you with customer support ; to provide you with information about other Canon products and promotions that may be of interest to you ; to obtain feedback on our products and services ; to perform research and analysis about usage and potential interest in our products , services , or content ; to develop and display content and advertising tailored to your interests on our web site ; to enforce our Terms and Conditions and to perform functions as otherwise described to you at the time of collection .",21869,204,"We may use financial information or payment method to process payment for any purchases or sales made on our web site , to protect against or identify possible fraudulent transactions , and otherwise as needed to manage our business .",21870,204,"If you provide us with information about others , or if others give us your information , we may store that data , but it will only be used for the specific reason it was provided .",21872,204
"We are part of the Canon Inc. family of companies and may share your information with our parent company , subsidiaries , and affiliates .",21876,204,"We also may share your information with other companies and individuals acting on our behalf to fulfill and/or ship an order , an award or rebate ; to conduct surveys , contests or sweepstakes ; to perform business and sales analysis ; to communicate with you ; collect or process payments ; provide data processing or data storage processes on our behalf ; or to provide a product or service you have requested .",21877,204,"We also may periodically share your personal information with selected non-Canon companies with whom we have partnered to provide you with products and services , or whose products and services we believe you may find of interest .",21878,204,"In addition , if you inquire about a product that Canon USA does not sell directly , we may forward your information to a Canon USA dealer , distributor or other reseller , and they may reach out to you about your product needs .",21879,204,"We also may share aggregated information we collect with third-parties , including service providers and marketing partners , for the purpose of conducting general business analysis .",21880,204
"For example , we may tell our marketing partners the number of visitors to our web site and the most popular features or services accessed .",21881,204,"This information does not contain any personal information and may be used to develop web site content and services that we hope you will find of interest .",21882,204,"Finally , we also may share your personal information :",21884,204,"In such cases , we may raise or waive any legal objection or right available to us .",21886,204,"When we believe disclosure is appropriate in connection with efforts to investigate , prevent , or take other action regarding illegal activity , suspected fraud or other wrongdoing ; to protect and defend the rights , property or safety of our company , our users , our employees , or others ; to comply with applicable law or cooperate with law enforcement ; or to enforce our web site Terms and Conditions or other agreements or policies .",21887,204
"Canon USA encourages parents and guardians to spend time online with their children and to participate with them in the various interactive activities and downloadable projects that may be available on our web site from time to time .",21892,204,"You can choose not to provide us with certain information , but that may result in you being unable to use certain features of our web site because such information may be required in order for you to register ; purchase products or services ; participate in a contest , promotion , survey , or sweepstakes ; ask a question ; or initiate other transactions on our web site .",21896,204,"Some of our web sites may provide you with a choice as to whether you want to receive e-mail messages about special offers .",21897,204,"Please note that we may send you other types of transactional and relationship e-mail communications , such as service announcements and administrative notices without offering you the opportunity to opt out of receiving them .",21899,204,"There are a number of places on our web site where you may click on a link to access other web sites that do not operate under this Privacy Statement .",21901,204
"For example , if you click on an advertisement or a third-party logo on our web site , you may be taken to a web site that we do not control .",21902,204,"These third-party web sites may independently solicit and collect information , including personal information , from you .",21903,204,"We recommend that you consult the privacy statements of all third-party web sites you visit by clicking on the `` privacy '' link typically located at the bottom of the web page you are visiting .",21904,204,"If you submit an application or resume online when applying for a position with our company , we may use third-party service providers to assist with the process of collection , maintenance and analysis of candidate submissions .",21905,204,"These third-parties are not affiliated with Canon USA and they may maintain separate privacy policies that govern the transfer of your information .",21906,204
"Canon USA may retain your application for a period of time , but only for the purpose of considering your application for current or future available positions .",21908,204,"Your applicant information may be shared with Canon Inc. and/or other Canon companies for the purpose of evaluating your qualifications for the particular position or other available positions .",21909,204,"We contract with third-party advertising agencies , marketing partners and other service providers to serve advertisements when you visit our web site or other web sites across the Internet .",21910,204,"The advertisements placed on these third-party web sites may use tracking technologies , such as cookies and web beacons , to collect anonymous information about your visits to this and other web sites .",21911,204,"We may also share anonymous information with these companies in aggregate form and/or partner with these companies to provide interest-based advertising both on and off web sites operated by Canon USA .",21912,204
"In either case , the purpose of the sharing is to provide advertisements about goods and services that may be of interest to you , analyzing and improving the effectiveness of ads and e-mails , and improving and enhancing our web site and its content .",21913,204,"However , other settings within your browser may permit you to block cookies or other technology that enable websites to collect information that can be used to tailor advertisements to your interest .",21915,204,"We may provide areas on our web sites where you can , for example , post product reviews or reviews about our web site , ask or answer a question , communicate with others , and upload content ( e.g . pictures , videos , audio files ) .",21918,204,"Such postings , which may be administered by third-party service providers , are governed by our general Terms of Use and may also be subject to more specific terms that are integrated into that area of our web site .",21919,204,"Service providers administering the postings may use tracking technology , such as cookies , to collect anonymous information about your posting .",21920,204
"Additionally , such postings may appear on other web sites when searches are executed on the subject of your posting .",21921,204,"Also , whenever you voluntarily disclose personal information on publicly-viewable web pages , that information can be collected and used by others .",21922,204,"For example , if you post your e-mail address , you may receive unsolicited messages .",21923,204,"We can not control who reads your posting or what other users may do with the information you voluntarily post , so we encourage you to exercise discretion and caution with respect to your personal information .",21924,204,"Our web sites may also include features that involve a shared platform with third-party services while you are on our web sites .",21925,204
"For example , we may allow you to sign in to your account on a social networking service to share your favorite Canon products or other information about Canon with friends on that service .",21926,204,"If we offer or accommodate this kind of shared-platform or similar service , the third-party through which the service is provided , and with whom your information may be shared , will be identified by a recognizable icon .",21927,204,"If you choose to use the service , information collected from you while you use our web site may be transmitted to the third-party that operates the service .",21928,204,"Finally , your activity on any social networking service pages that , for example , refer to Canon USA , include the Canon logo , or involve a Canon promotion , is guided by the general terms of the service operator or any specific terms for that promotion .",21930,204,"You therefore should consult that third-party 's privacy policy to understand how your information may be used and shared by the third-party .",21931,204
"Because no method of transmitting or storing electronic data on the Internet is ever completely secure , we can not guarantee that such information will never be accessed , used , or released in a manner that is inconsistent with this Statement .",21934,204,"If you are visiting our web site from outside the United States , please be aware that your information may be transferred to , stored , and processed in the United States where our servers are located and our central database is operated .",21937,204,"The data protection and other laws of the United States and other countries might not be as comprehensive as those in your country .",21938,204,"By using our services , you understand that your information may be transferred to our various facilities within and outside the United States and those third-parties who process information on our behalf , as described in this Privacy Statement .",21940,204,"California Civil Code Section 1798.83 gives California residents the right to request , from a business with whom the California resident has an established business relationship , certain information with respect to the types of personal information the business shares with third-parties for direct marketing purposes by such third-party , and the identities of the third-parties with whom the business has shared such information during the immediately preceding year .",21948,204
"It describes what personal information we may be gathering from you , who can see this information , and what options you have for controlling this .",22448,210,"Development of the software behind OpenStreetMap , is a community effort , with many developers involved and work taking place on many separate components .",22453,210,"Generally a good level of care is being taken to ensure that personal information of mappers contributing to the project , will not fall into the wrong hands .",22454,210,"This has come about as a series of independent decisions within the design of the various components .",22455,210,"We also have an Acceptable Use Policy covering various types of server usage .",22461,210
"GPX files can be marked `` public '' by the uploader ; this is completely unrelated to the option of making one 's edits `` public '' .",22464,210,"If a GPS trace is marked as public when it is uploaded then the raw trace may be downloaded from the web site or using an API call .",22468,210,"In general all of this information is also made available to everyone via the website , including links to allow everyone to easily cross-reference which user has made which edit .",22472,210,"You can find out more about this , on the Anonymous edits page .",22477,210,"The registered email address for an OSM user account , will never intentionally be published on the internet anywhere , shared with third party organisations , or revealed directly to other logged in users .",22481,210
"It may be used by these people to contact users directly about their edits or other OpenStreetMap related issues .",22484,210,"Note that some other types of Accounts used by developers/community do expose email address information more publicly ( due to technical limitations of the software used , rather than policy decisions ) The Trac system exposes your email address in plaintext on the page if the email address ( rather than the display name ) is used to login .",22485,210,"acs.org recognizes that users may have concerns about privacy issues as they navigate the Internet .",24867,235,"We recommend visiting the Federal Trade Commission website for more information about general privacy issues .",24869,235,"This information helps us determine which parts of the site visitors find most valuable as well as how we can continually improve the services we provide .",24873,235
"Users may use acs.org without registering but registration must occur in order to use any of the personalization services .",24876,235,"The contact information is used to contact users when necessary .",24878,235,"acs.org may contain links to third-party Websites .",24881,235,"Users who register with acs.org have the option of receiving occasional e-mails from us about new features and similar messages that we feel may be of interest .",24889,235,"Users may opt-in to receive these messages .",24890,235
"You may disable the cookie function on your browser or erase the contents in your cookies file .",24897,235,"However , please bear in mind that doing this prevents the Website from recognizing you as a previous user of this Website and may prevent you from using some features on the site .",24899,235,"Your account containing your information is password protected and should never be shared with anyone .",24901,235,"Any feedback that is submitted becomes the property of acs.org and we may use this feedback for marketing purposes , or to contact visitors for more information .",24906,235,"Any changes to our privacy policy will be posted here so that visitors will always know what information we gather , how we might use that information , and whether we will disclose it to anyone .",24907,235
"These sites may carry their own privacy policy or provide additional information relating to their activities , which will supersede or supplement this Privacy Policy .",25697,239,"On some parts of the website , you may be asked to provide some limited personal information in order to enable the provision of certain services ( e.g . prospectus ordering , registering with a society , applying for a vacancy etc ) .",25700,239,"The University may store this information manually or electronically .",25701,239,"Information provided will be kept for as long as is necessary to fulfil that purpose .",25703,239,"We may also collect information about your computer , including where available your IP address , operating system and browser type , for system administration and to report aggregate information to our webmasters .",25704,239
"This is statistical data about our users ' browsing actions and patterns which does not identify any individual and allows us to ensure that content from our site is presented in the most effective manner for you and for your computer .",25705,239,"Personal information will not be sold to third parties , or provided to direct marketing companies or other such organisations without your permission .",25708,239,"Demographical and statistical information about user behaviour may be collected and used to analyse the popularity and effectiveness of the University 's website .",25710,239,"However , we do work with third party contractors , some of whom host and operate certain features of the website .",25714,239,"Accordingly , information that we collect from you may be collected in or transferred to a destination outside the European Economic Area ( `` EEA '' ) .",25715,239
"That information may be processed by staff operating outside the EEA who work for us or for one of our contractors .",25716,239,"We will take all steps reasonably necessary to ensure that your data is treated securely and in accordance with this Privacy Policy .",25718,239,"We may disclose your personal information to third parties if we are under a duty to disclose or share such information in order to comply with any legal obligation or to protect the rights , property or safety of the University , its members or others .",25719,239,"Most of our web pages use `` cookies '' .",25721,239,"Any changes we may make to our Privacy Policy in the future will be posted on this page and , where appropriate , notified to you by email .",25728,239
"All data that we collect and process is stored on servers located in Hong Kong SAR , a jurisdiction that may not provide an equivalent level of data protection to the laws in your home country .",26879,249,"On occasion , Agoda may revise this Privacy Policy to reflect changes in the law , our Personal Data collection and use practices , the features of our Site , or advances in technology .",26880,249,"Therefore , you should review this Privacy Policy periodically so that you are up to date on our most current policies and practices .",26882,249,"Personal Data may include your name , address , phone number , credit card number , e-mail address , hotel name , hotel location and/or length of stay .",26887,249,"We also collect non-personally identifiable information , which may be linked to your Personal Data , including your log-in name , IP address , geographic data , operating system type , nationality and password , and search preferences related to specific searches , as well as other generic Internet usage related data .",26888,249
"We use Personal Data and other information collected through the Site ( a ) to register you with the Site and our Agoda Rewards program as requested by you , ( b ) to provide you with the requested products and services ( mainly to process your reservation ) , ( c ) to provide you with information about our products and services on the Site or on other websites and to communicate with you to the extent necessary to provide such requested products and services , ( d ) to build features that will make the services available on the Site easier to use and ( e ) for an improved user experience and general optimization purposes .",26893,249,"From time to time , Agoda may contact you to request feedback on your experience in using the Site , to assist us in improving the Site , or to offer special savings or promotions to you as a Site user , where you have indicated your consent to receiving such communications .",26895,249,"If you would prefer not to receive notices of special savings or promotions , you may simply opt out from receiving those by replying to Agoda using the hyperlink provided in these notices .",26896,249,"Agoda may share your Personal Data with third parties we appoint to perform services on our behalf , such as web hosting services , data analysis , to market our products and services , also on websites of such third parties , to handle credit card transactions and to otherwise provide you with customer service .",26898,249,"All such third parties will be under an obligation to maintain the security and confidentiality of the Personal Data , and to process the Personal Data only in accordance with our instructions .",26899,249
"In some cases , Agoda may require that you transact directly with a third party to obtain services , or when you use the Site to reserve a hotel room or obtain another product or service , we may provide your Personal Data to that hotel or other involved third party .",26900,249,"Save for disclosures mentioned in this Privacy Policy or as required by law in any relevant jurisdiction as mentioned below and the disclosure of your Personal Data and information required for completing your booking with the relevant hotel of your choice and the sharing of certain Personal Data with selected partners where relevant ( your details will be used for reporting and analysis purposes only ) , we will not disclose your Personal Data to third parties without your consent .",26901,249,"However , we reserve the right to disclose your Personal Data to our affiliated ( group ) companies ( in and outside your home country ) , including our affiliated ( group ) companies ' employees and our trusted agents and representatives who have access to this information with our permission and who need to know or have access to this information to perform the service requested by you ( including customer services ) and internal ( audit/compliance ) investigations .",26902,249,"Agoda may , in compliance with applicable law , disclose Personal Data to protect ourselves against liability , to respond to subpoenas , judicial processes , legitimate requests by law enforcement officials , or as otherwise required or necessary in order to comply with applicable law , or to the purchasers in connection with any sale , assignment , or other transfer of all or a part of our business or company .",26903,249,"We may also , in compliance with applicable law , disclose Personal Data to enforce or apply the terms and conditions applicable to our products and services or to protect the rights , property or safety of Agoda , our users or others .",26904,249
"In the situations described above , the recipient of the Personal Data may be located in a jurisdiction that may not provide an equivalent level of data protection to the laws in your home jurisdiction .",26905,249,"Our Site uses session and persistent cookies as well as pixel tags ( also called clear gifs ) to collect and store certain information about you .",26907,249,"Session cookies are necessary to keep you logged in during your visit to the Site and they disappear from your computer when you close the browser .",26909,249,"Persistent cookies remain on your computer after the browser has been closed , but can be deleted at any time through your browser settings .",26910,249,"If you want to prevent your browser from accepting cookies , if you want to be informed whenever a cookie is stored on your computer or if you want to delete cookies from your computer , please make the necessary changes in your Internet browser settings , typically under the sections Help or Internet Options .",26912,249
"If you disable or delete cookies in your Internet browser settings , you might not be able to access important functions or features of this Site , you will be required to re-enter your log-in details and your use of the Site may be limited .",26913,249,"Please also note that opting out of a third party cookie ( see below ) does not mean that you will no longer receive or be subject to online advertising or marketing analysis .",26914,249,"Third party companies may use persistent cookies to analyze your surfing behavior on and your visit to this Site as well as other web sites enabling us to improve the Site and our services .",26921,249,"To opt out of collection of information by third parties for analytic purposes , please click on one or more of the following third party links :",26922,249,"Our third party advertising companies may place cookies or pixel tags on some of the pages you visit on the Site .",26924,249
"These cookies or pixel tags are designed to collect non-personally identifiable information in order to analyze your interests and searches when visiting our Site and to serve you advertisements specifically tailored to your interests and searches when you are visiting our Site or other websites .",26925,249,"The non-personally identifiable information collected through cookies and pixel tags may be shared with other third parties for purpose of managing and targeting advertisements and for market research analysis .",26926,249,"How You Can Access or Change Your Personally Identifiable Information",26927,249,"If you wish to update any Personal Data you have previously provided , or to exercise any right of access , rectification , deletion , or opposition to the processing of your Personal Data that you may have under applicable law , please contact us via our Customer Support page .",26928,249,"You may also object to the processing of your Personal Data for purposes of advertising and market and opinion research .",26931,249
"If you wish to contact our customer service representatives about privacy issues via email , you may send an email to :",26932,249,"Alternatively , you may send a registered letter to the Agoda offices at the following address :",26933,249,"You may also contact our customer service agents 24/7 via phone at the following number :",26936,249,"+44 20 3027 7900 ( international charges apply ) or any other number that we may advise from time to time .",26937,249,"Minors can normally accompany their parent ( s ) or legal custodian who have booked an accommodation , except where indicated otherwise in the hotel policies .",26940,249
"We will not knowingly disclose PII about you that we collect through the Service to third parties , except under the limited circumstances described in this Policy ; and",27204,252,"The information that we collect varies depending upon how you use our Service .",27211,252,"We may also request other information , such as but not limited to , your actual first and last name , gender , and zip code .",27213,252,"You may access and update certain of your personal information or account settings by going to the Profile or My Account or a similar tab on the Site .",27214,252,"Please keep in mind that whenever you voluntarily provide information in public areas of the Service , such as the user profile pages or forums , that information can be viewed and possibly used by others .",27216,252
"Also , we may highlight content you post to the public areas of the Service such as reviews or comments , such as by featuring your content on the Site 's home page .",27219,252,"We do not knowingly collect or solicit personal information from anyone under the age of 13 or knowingly allow such persons to register .",27220,252,"We recommend that prospective users between the ages of 13 and 17 ask their parents or other legal guardians for permission before sending any information about themselves to anyone over the Internet .",27222,252,"Like many websites , we use cookies .",27223,252,"While you can take steps to warn off , block or disable cookies , if you do , the Service may not function and appear as we have designed it .",27226,252
"Nonetheless , if you want to take these steps , you can do so by following the instructions associated with your browser .",27227,252,"demographic and other non-personally identifiable profile information about you ; and",27232,252,"In our email to you , we use pixel tags to determine if your email software or service can display html-formatted email ( this helps us optimize the size of our email messages and conserve bandwith ) .",27234,252,"Collection of Information by Third Parties .",27235,252,"Our Site may include third-party advertising , links to other websites , and other content from third party businesses .",27236,252
"The content posted by these parties will be reasonably identifiable as coming from a third party .",27237,252,"We do not provide any PII to these advertisers , third-party websites , or other businesses , although on occasion we may mutually share non-personally identifiable ( e.g. , demographic ) information to facilitate delivery of relevant advertisements .",27238,252,"These third-party websites , businesses , and advertisers , or advertising companies working on their behalf , sometimes use technology to deliver ( or `` serve '' ) the advertisements that appear on our Site directly to your browser .",27239,252,"They may also use cookies , JavaScript , web beacons ( also known as action tags or single-pixel gifs ) , and other technologies to measure the effectiveness of their ads and to personalize or optimize advertising content .",27241,252,"We do not have access to or control over cookies or other technologies that they may use , and the information practices of these advertisers and third-party websites or businesses are not covered by this Policy but are covered by their respective privacy politices .",27242,252
"Some , but not all , third party advertising companies provide a mechanism to opt-out of their technology .",27243,252,"From time to time , we may host a promotion , sweepstake , or contest on the Service .",27246,252,"You may be asked to provide personal information or permit the transfer to a third party of your personal information in connection with such promotion , sweepstake or contest .",27247,252,"It will be disclosed at the point of collection or transfer who is collecting or transferring the information and whose privacy statement applies , and it will be your choice whether or not you wish to permit such transfer or collection of personal information to a third party .",27248,252,"We also may use your PII to contact you regarding your account , such as to inform you that you have received an email from another Airliners.net member , or to forward user comments to you about the content that you have posted .",27251,252
"We may also email Airliners.net newsletters , and similar communications about the Service .",27252,252,"Subject to the exceptions noted below , at any time , you may modify the types of communications you wish to receive by changing your preferences as part of your profile on the Site .",27253,252,"We reserve the right to send you customary business communications such as acceptance/rejection notices regarding content submissions , general system and administrative messages regarding the Service , address confirmations , and transactional information about your account , and we may not offer you the opportunity to opt-out of receiving such communications so long as you are registered with the Site .",27255,252,"We use IP addresses to analyze trends , administer the Site , track a user 's movement , and gather broad demographic information for aggregate , non-personally identifiable use .",27258,252,"We may dispose of information in our discretion without notice , subject to applicable law that specifically requires the handling or retention of information .",27261,252
"Airliners.net shares information with third parties , but only as described in this Section 4 .",27264,252,"Advertisers and Others .",27265,252,"We share non-personally identifiable information with advertisers , service providers , and other persons with whom we conduct business .",27266,252,"Similarly , these advertisers , service providers , and other persons may share with us non-PII about you that they have independently gathered or acquired .",27267,252,"Third Party Services .",27268,252
"We contract with affiliated and non-affiliated third parties to provide services to us or to you on our behalf .",27269,252,"These third parties may have access to your PII for use solely in connection with these authorized business activities .",27271,252,"As we develop our business , we might sell or buy businesses or their assets , or engage in acquisitions , mergers , restructurings , changes of control , or similar transactions .",27272,252,"In such transactions , customer information generally is one of the transferred business assets , and your PII may be subject to such a transfer .",27273,252,"Also , in the unlikely event of a bankruptcy , customer information may be transferred to a bankruptcy trustee or debtor in possession and then to a subsequent purchaser .",27274,252
"We may share PII , non-PII and other information with our corporate affiliates .",27275,252,"Some of our most significant affiliates are identified on the website of our parent company , Demand Media , Inc..",27276,252,"Corporate affiliates are those entities that we control , are controlled by us , or are under common control with us and any joint venture in which any of the controlled entities may participate from time to time .",27277,252,"Any use of your information by our corporate affiliates is subject to this Policy or another policy no less protective of your privacy .",27278,252,"Conversely , we may obtain information about you from our corporate affiliates or from your visits to other websites that we or our corporate affiliates control .",27279,252
"Our affiliates are not permitted to use your PII to send you unsolicited marketing emails about their websites or their other products and services .",27280,252,"We may release user information when we believe release is appropriate to :",27282,252,"protect the rights , property , or safety of Airliners.net , our users , or others , including exchanging information with other companies for fraud protection and credit risk reduction .",27286,252,"We generally will not ask for passwords in an email and you should assume that if you get such a request , it might be fraudulent .",27290,252,"YOU MUST DO WHAT YOU REASONABLY CAN TO ENSURE THE SECURITY OF YOUR PERSONAL INFORMATION .",27291,252
"In addition , people can commit intentional crimes , make mistakes or fail to follow policies .",27296,252,"Therefore , while we use reasonable efforts to protect your PII , we can not guarantee its absolute security .",27297,252,"We encourage you to be aware when you leave our Site and to read the privacy statements of every web site that collects your personally identifiable information .",27301,252,"If you think we are in default of the Terms , you may contact us at Our Legal Notices Address in Section 8 below .",27304,252,"In those jurisdictions that permit email notice , if we are required to disclose or provide notice of invasion of certain security systems , we will do so by email to the most current email address provided by you to us .",27306,252
"When we need to contact you , including when we give a legal notice , we may do so to an email address that we have on file for you or to your Airliners.net email account , or we may post notice on the Site .",27318,252,"Which Information Can I Access ?",28029,261,"You can choose not to provide certain information , but then you might not be able to take advantage of many of our features .",28040,261,"Automatic Information : We receive and store certain types of information whenever you interact with us .",28042,261,"For example , like many Web sites , we use `` cookies , '' and we obtain certain types of information when your Web browser accesses Amazon.com or advertisements and other content served by or on behalf of Amazon.com on other Web sites .",28043,261
"Mobile : When you download or use apps created by Amazon or our subsidiaries , we may receive information about your location and your mobile device , including a unique identifier for your device .",28045,261,"We may use this information to provide you with location-based services , such as advertising , search results , and other personalized content .",28046,261,"Most mobile devices allow you to turn off location services .",28047,261,"E-mail Communications : To help us make e-mails more useful and interesting , we often receive a confirmation when you open e-mail from Amazon.com if your computer supports such capabilities .",28049,261,"Information from Other Sources : We might receive information about you from other sources and add it to our account information .",28052,261
"The Help feature on most browsers will tell you how to prevent your browser from accepting new cookies , how to have the browser notify you when you receive a new cookie , or how to disable cookies altogether .",28055,261,"Additionally , you can disable or delete similar data used by browser add-ons , such as Flash cookies , by changing the add-on 's settings or visiting the Web site of its manufacturer .",28056,261,"Because cookies allow you to take advantage of some of Amazon.com 's essential features , we recommend that you leave them turned on .",28057,261,"Information about our customers is an important part of our business , and we are not in the business of selling it to others .",28060,261,"Affiliated Businesses We Do Not Control : We work closely with affiliated businesses .",28062,261
"In some cases , such as Marketplace sellers , these businesses operate stores at Amazon.com or sell offerings to you at Amazon.com .",28063,261,"Click here for some examples of co-branded and joint offerings .",28065,261,"You can tell when a third party is involved in your transactions , and we share customer information related to those transactions with that third party .",28066,261,"Third-Party Service Providers : We employ other companies and individuals to perform functions on our behalf .",28067,261,"They have access to personal information needed to perform their functions , but may not use it for other purposes .",28069,261
"Promotional Offers : Sometimes we send offers to selected groups of Amazon.com customers on behalf of other businesses .",28070,261,"Business Transfers : As we continue to develop our business , we might sell or buy stores , subsidiaries , or business units .",28073,261,"In such transactions , customer information generally is one of the transferred business assets but remains subject to the promises made in any pre-existing Privacy Notice ( unless , of course , the customer consents otherwise ) .",28074,261,"Protection of Amazon.com and Others : We release account and other personal information when we believe release is appropriate to comply with the law ; enforce or apply our Conditions of Use and other agreements ; or protect the rights , property , or safety of Amazon.com , our users , or others .",28076,261,"Obviously , however , this does not include selling , renting , sharing , or otherwise disclosing personally identifiable information from customers for commercial purposes in violation of the commitments set forth in this Privacy Notice .",28078,261
"With Your Consent : Other than as set out above , you will receive notice when information about you might go to third parties , and you will have an opportunity to choose not to share the information .",28079,261,"Of course , we transmit the entire credit card number to the appropriate credit card company during order processing .",28083,261,"Which Information Can I Access",28090,261,"Amazon.com gives you access to a broad range of information about your account and your interactions with Amazon.com for the limited purpose of viewing and , in certain cases , updating that information .",28091,261,"Click here to see some examples , the list of which will change as our Web site evolves .",28092,261
"As discussed above , you can always choose not to provide information , even though it might be needed to make a purchase or to take advantage of such Amazon.com features as Your Profile , Wish Lists , Customer Reviews , and Amazon Prime .",28094,261,"You can add or update certain information on pages such as those referenced in the `` Which Information Can I Access ? '' section .",28095,261,"When you update information , we usually keep a copy of the prior version for our records .",28096,261,"If you do not want us to use personal information that we gather to allow third parties to personalize advertisements we display to you , please adjust your Advertising Preferences .",28099,261,"The Help feature on most browsers will tell you how to prevent your browser from accepting new cookies , how to have the browser notify you when you receive a new cookie , or how to disable cookies altogether .",28100,261
"Additionally , you can disable or delete similar data used by browser add-ons , such as Flash cookies , by changing the add-on 's settings or visiting the Web site of its manufacturer .",28101,261,"Because cookies allow you to take advantage of some of Amazon.com 's essential features , we recommend that you leave them turned on .",28102,261,"If you are under 18 , you may use Amazon.com only with the involvement of a parent or guardian .",28107,261,"We may e-mail periodic reminders of our notices and conditions , but you should check our Web site frequently to see recent changes .",28116,261,"You provide most such information when you search , buy , post , participate in a contest or questionnaire , or communicate with customer service .",28123,261
"For example , you provide information when you search for a product ; place an order through Amazon.com or one of our third-party sellers ; provide information in Your Account ( and you might have more than one if you have used more than one e-mail address when shopping with us ) or Your Profile ; communicate with us by phone , e-mail , or otherwise ; complete a questionnaire or a contest entry form ; use our services such as Amazon Instant Video ; compile Wish Lists or other gift registries ; participate in Discussion Boards or other community features ; provide and rate Reviews ; specify a Special Occasion Reminder ; and employ Product Availability Alerts , such as Available to Order Notifications .",28124,261,"As a result of those actions , you might supply us with such information as your name , address , and phone numbers ; credit card information ; people to whom purchases have been shipped , including addresses and phone number ; people ( with addresses and phone numbers ) listed in 1-Click settings ; e-mail addresses of your friends and other people ; content of reviews and e-mails to us ; personal description and photograph in Your Profile ; and financial information , including Social Security and driver 's license numbers .",28125,261,"Examples of the information we collect and analyze include the Internet protocol ( IP ) address used to connect your computer to the Internet ; login ; e-mail address ; password ; computer and connection information such as browser type , version , and time zone setting , browser plug-in types and versions , operating system , and platform ; purchase history , which we sometimes aggregate with similar information from other customers to create features like Top Sellers ; the full Uniform Resource Locator ( URL ) clickstream to , through , and from our Web site , including date and time ; cookie number ; products you viewed or searched for ; and the phone number you used to call our 800 number .",28126,261,"We may also use browser data such as cookies , Flash cookies ( also known as Flash Local Shared Objects ) , or similar data on certain parts of our Web site for fraud prevention and other purposes .",28127,261,"During some visits we may use software tools such as JavaScript to measure and collect session information , including page response times , download errors , length of visits to certain pages , page interaction information ( such as scrolling , clicks , and mouse-overs ) , and methods used to browse away from the page .",28128,261
"We may also collect technical information to help us identify your device for fraud prevention and diagnostic purposes .",28129,261,"Most mobile devices provide users with the ability to disable location services .",28130,261,"Most likely , these controls are located in the device 's settings menu .",28131,261,"Examples of information we receive from other sources include updated delivery and address information from our carriers or other third parties , which we use to correct our records and deliver your next purchase or communication more easily ; account information , purchase or redemption information , and page-view information from some merchants with which we operate co-branded businesses or for which we provide technical , fulfillment , advertising , or other services ; search term and search result information from some searches conducted through the Web search features offered by our subsidiary , Alexa Internet ; search results and links , including paid listings ( such as Sponsored Links ) ; and credit history information from credit bureaus , which we use to help prevent and detect fraud and to offer certain credit or financial services to some customers .",28135,261,"Information You Can Access",28138,261
"Examples of information you can access easily at Amazon.com include up-to-date information regarding recent orders ; personally identifiable information ( including name , e-mail , password , communications and personalized advertising preferences , address book , and 1-Click settings ) ; payment settings ( including credit card information and promotional certificate and gift card balances ) ; e-mail notification settings ( including Product Availability Alerts , Delivers , Special Occasion Reminders , and newsletters ) ; Recommendations ( including Recommended for You and Improve Your Recommendations ) ; shopping lists and gift registries ( including Wish Lists and Baby and Wedding Registries ) ; Seller accounts ; and Your Profile ( including your product Reviews , Recommendations , Listmania lists , Reminders , personal profile , and Wish List ) .",28139,261,"In order to enhance their use of the Anticlown Media websites , users can choose to leave comments on particular articles of interest .",29242,270,"To leave a comment , users must register with the third party comment registration system TypeKey .",29243,270,"Anticlown Media uses this third party system to screen out users who leave comments prohibited by our terms and conditions of use .",29244,270,"This privacy statement does not cover the use of information by TypeKey , but you can learn more about their privacy policy here .",29245,270
