sentence1,sentence2,sentence3,sentence4,sentence5
"If you ask us to , we will disclose your test scores to schools and others .","When you request other services , we will provide your personal data to third parties with whom we arrange for those services to be provided .","We may also disclose information to third parties that provide administrative or processing services for us for example , printing , mailing and/or payment processing .","ETS 's use of third parties to provide services to you ( e.g. , payment services ) is subject to the terms of use and privacy policies of those third-party websites and such third parties are responsible or liable for their use of your personal data .","We may also disclose Personal Information collected on the Website , in accordance with applicable law , to assert or defend our rights and property , to prevent harm to others , to collect a debt , or in response to legal processes such as subpoenas ."
"We may also provide ( or reserve the right to provide ) Personal Information to credit reporting agencies and to cooperate with law enforcement authorities or other governmental authorities consistent with applicable laws .","If you have consented to our doing so , we may also share your personal data with third parties in order that they may offer you information about their goods and services .","Because non-personal information does not personally identify you , we may use or disclose such information for any purpose .","In some instances , we may combine non-personal information with Personal Information ( such as embedding email addresses in cookies ) .","Based upon your specific relationship ( s ) with ETS , we may disclose your Personal Information in ways described in more detail in one or more Other Agreements ."
"When you register for a test online or create an account , you will have the ability to opt out of receiving certain communications from ETS , including voicemail or email .","Remember , however , that ETS may still send email or call you in order to provide a product or service that you request .","This Website may contain links to other third-party websites .","ETS has established safeguards to help prevent unauthorized access to or misuse of your Personal Information , but can not guarantee that your Personal Information will never be disclosed in a manner inconsistent with this Policy ( for example , as a result of unauthorized acts by third parties that violate applicable law or relevant Web policies ) .","You should never disclose your password to anyone ."
"Please check this Website from time to time to review any such changes .","If you have any questions or concerns about the Website or security policies , you may contact us by :","They may send emails to draw you to the site .","Often , people visit the site and give Personal Information in an unsecured environment , making Social Security numbers and credit card information available to thieves .","If you suspect that you may be a victim of phishing :"
"Check with your credit card company and bank to see if anyone else has illegally used your account ( s ) .","Contact the appropriate credit bureaus or agencies to report the incident .","Under California Law SB 27 , California residents have the right to receive , once a year , information about third parties with whom we have shared Personal Information about you or your family for their marketing purposes during the previous calendar year , and a description of the categories of Personal Information shared .","We may , from time to time , review and update this policy , including to take account of new or amended laws , new technology and/or changes to our operations .","All personal information held by us will be governed by the most recently updated policy ."
"In general , the personal information we collect about you includes ( but is not limited to ) your name , contact details ( including phone numbers and addresses ) and possibly financial information , including your credit card information .","For example , we may collect data relating to your activity on our websites ( including IP addresses ) via tracking technologies such as cookies , or we may collect information from you in response to a survey .","We generally use this information to report statistics , analyse trends , administer our services , diagnose problems and target and improve the quality of our products and services .","To the extent this information does not constitute personal information , the National Privacy Principles do not apply and we may use this information for any purpose and by any means whatsoever .","We generally advise that you do not publish or communicate personal information , or at least limit the personal information that you publish or communicate , to the public via our services , such as in our classifieds , forums or blogs ( Non-Confidential Information ) ."
"You acknowledge that we can not control any third party collection or use of your Non-Confidential Information .","You agree that we may use and disclose Non-Confidential Information for any purpose and by any means whatsoever .","We may collect your personal information from a variety of sources , including from you , advertisers , mailing lists , recruitment agencies , contractors and business partners .","We may collect your personal information when you request or acquire a product or service from us , register with us as a member , provide a product or service to us , complete a survey or questionnaire , enter a competition or event , contribute in a fundraising event , participate in our services ( including our radio programs , blogs and forums ) or when you communicate with us by e-mail , telephone or in writing ( for example if you contact customer service to make a complaint or provide feedback ) .","We may state a more specific purpose at the point we collect your information ."
"If you do not provide us with the information that we request , we may not be able to provide you with our products or services .","In addition to the primary purpose outlined above , we may use the personal information we collect , and you consent to us using your personal information :","to send marketing and promotional material that we believe you may be interested in .","This material may relate to any of Fairfax 's businesses or a third party business which we believe may be of interest to you ;","for purposes necessary or incidental to the provision of goods and services to you ;"
"to conduct competitions or promotions on behalf of Fairfax and selected third parties ;","We may disclose personal information , and you consent to us disclosing your personal information , to other members of the Fairfax Group ( in which case , your personal information will be collected , used , disclosed , managed and stored in accordance with this policy ) .","We may also disclose personal information , and you consent to us disclosing your personal information , to third parties :","as part of any investigation into you or your activity , for example , if we have reason to suspect that you have committed a breach of any of our terms and conditions , or have otherwise been engaged in any unlawful activity , and we reasonably believe that disclosure is necessary to the Police , any relevant authority or enforcement body , or your Internet Service Provider or network administrator ;","At the point we collect information from you , you may be asked to opt in to consent to us using or disclosing your personal information other than in accordance with this policy or any applicable law ."
"For example , you may be asked to opt-in to receive further information or communications from our advertisers and supporters which do not fall into one of the categories described above .","You will generally be given the opportunity to opt out from receiving communications from us or from third parties that send communications to you in accordance with this policy .","You may opt out from receiving these communications by either clicking on an unsubscribe link at the end of an email or by updating your personal details on our Member Centre page .","You may also cancel your account on our Member Centre page .","However , you acknowledge that the security of online transactions and the security of communications sent by electronic means or by post can not be guaranteed ."
"We can not accept responsibility for misuse or loss of , or unauthorised access to , your personal information where the security of information is not within our control .","You acknowledge that we are not responsible for the privacy or security practices of any third party ( including third parties that we are permitted to disclose your personal information to in accordance with this policy or any applicable laws ) .","The collection and use of your information by such third party/ies may be subject to separate privacy and security policies .","Subject to some exceptions in the Privacy Act , you have the right to seek access to and update the personal information we hold about you .","We may charge a fee to cover the costs of meeting your request ."
"Members of our websites will generally be able to access and update their membership details online .","We request that you keep your information as current as possible so that we may continue to improve our service to you .","If you would like to seek access to personal information we hold about you , or if you have any questions or complaints about how we collect , use , disclose , manage or store your personal information , you can contact the department that collected your personal information in the first instance , or write to :","NOTICE OF ARBITRATION PROVISIONS : Your use of our Site or other Service is subject to binding individual arbitration of any disputes which may arise , as provided in Paragraph 18 of the Terms of Use .","Please read the arbitration provisions carefully and do not use our Site or other Service if you are unwilling to arbitrate any disputes you may have with us ( including without limitation any disputes relating to this Privacy Policy or our privacy practices ) as provided in the Terms of Use ."
"Additionally this Policy identifies the ways in which we process , and sometimes share , such information and what control and choices you have with regard to the collection and use of your personal information .","Like many other websites , we may now or in the future provide other websites or mobile services with , and allow users to `` snag '' or place , our RSS feeds , video players and other applications on websites or mobile services we do not control .","This Policy applies to any information we collect when you use our RSS feeds , video players and other applications , but does not apply to information separately collected by the operators of those websites or mobile services or other third parties that may provide content or services to those websites or mobile services .","Information collected by third parties , even if collected on or through our Site or other Service .","For example , we may embed a content feed , video player or other application from a third party on our Site or other Service ."
"These third party applications may appear to be part of our Site or other Service , but the content is provided by a third party server .","By accessing this third party application , the third party owner may send its own cookies and collect its own data regarding your interaction with the application and may solicit your personal information as part of your use of such application .","We are not responsible for the actions and privacy policies of these third party providers and you should review such privacy policies prior to providing any Personally Identifiable Information to them .","This Policy will be posted on this Site for your review and from time to time as part of registering or providing information in connection with this Site or other Service , we may provide you with a short notice reminding you to refer to this Policy and other relevant information from us when using our Site or other Service .","Disclosure of Personally Identifiable Information to Third Parties"
"Third Party Advertising and Links to Other Sites","Personally identifiable information is any information that identifies a living individual , such as your first and last name , mailing address , phone number , mobile phone number email address , photograph , credit/debit card number and expiration date ( or other payment-method information ) , login ID , member name and password and other information about a specific individual that identifies the individual ( `` Personally Identifiable Information '' ) .","When you sign up for or use the Site or other Service , Fandango collects some amount of Personally Identifiable Information from you .","Fandango also collects Personally Identifiable Information that you may voluntarily provide when you use the Site or other Service , that you may disclose in a public area of the Site or other Service ( such as a rating/review page , message board or chat room ) , or that you may include if you communicate with Fandango , such as by responding to polls or survey , registering for sweepstakes , contests and other promotional opportunities , or seeking help from our customer service department .","We also may obtain Personally Identifiable Information from reputable third parties , such as credit agencies ."
"In some instances , when you use certain features of the Site or other Service , Fandango may collect the email addresses or other Personally Identifiable Information of others that you may provide .","Unless stated otherwise at the point of collection , we will treat any such Personally Identifiable Information that you submit about other people in accordance with this Policy .","Non-Personally Identifiable Information is information that does not specifically identify a living individual and is not used with Personally Identifiable Information to determine an individual 's identity , including a computer 's Internet Protocol ( `` IP '' ) address , a mobile device 's unique identifier , computer and device connection information such as browser type or version , demographic information , such as a person 's age , ZIP code and other data collected automatically through the operation of this Site or other Service ( `` Non-Personally Identifiable Information '' ) .","We may collect site usage data and other Non-Personally Identifiable Information ( such as which Site pages are visited and in what sequence ) through the use of various technologies .","An IP address is a number that is automatically assigned to a computer by the Internet service provider whenever the computer is connected to the Internet ."
"When we are collecting information regarding what pages and content on this Site or other Service a computer is accessing and using , in general we do not link that computer 's IP addresses to any Personally Identifiable Information , so although the Site usage data associated with a computer 's IP address will be logged , your identity will remain anonymous to us and the Site .","For portions of the Site or other Service that may require registration or a log-in , we may also collect your registration , username and password information from you when you register or log in to those portions of the Site or other Service .","During some visits , we may use software tools , such as Javascript , to measure and collect session information , including page response times , download errors , time spent on certain pages , page interaction information , and methods used to browse away from the page .","Like many sites , we and third parties that provide content on and through the Site or other Service use `` cookies '' or other similar technologies to collect information .","Fandango 's cookies contain Personally Identifiable Information , such as your Login ID and your email address , as well as Non-Personally Identifiable Information ."
"In addition , Fandango uses cookies to measure traffic activity on the Site , track your use of the Site or other Service , and provide you with a more personalized user experience by allowing Fandango to provide targeted advertising and determine which areas of the Site or other Service may be the most popular or useful to you .","Similarly , if you have asked us to send you information about upcoming products and promotions , by using cookies we collect information about which Site pages you have visited and in what order that may allow us to narrow or limit the materials provided to you based on your prior online activities or preferences .","Most browsers are initially set to accept cookies .","If you prefer , you can set your browser to refuse cookies or to alert you when cookies are being sent , but it is possible that some parts of the Site or other Service may not function properly if you do so .","Certain internet browsers , such as Internet Explorer , Chrome , Firefox and Safari , also allow you to block , control and remove cookies from your computer ."
"When you visit a page on the Site that contains a Pixel Tag , the Pixel Tag communicates with your computer to collect Non-Personally Identifiable Information , and determine , among other things , whether you have been to that page before or viewed a particular advertisement .","Where authorized and as permitted by FTC guidelines and all other applicable laws , rules and regulations , Fandango may also use or allow the use of trusted vendors and other third party companies who may gather data for appropriate business purposes such as managing advertising and/or generating reports on Site traffic and statistics .","We may also use other monitoring technologies to gather anonymous statistics about our Site visitors .","We will use your Personally Identifiable Information for the purposes for which it was provided .","For example , Fandango may use your Personally Identifiable Information to notify you of changes to the Site or other Service , to let you know about opportunities and other products or services you may be interested in , and to request your participation in surveys or other promotions ."
"You can choose not to receive certain communications from Fandango as described in the section below entitled `` Communication Preferences . ''","Fandango also uses your Personally Identifiable Information to provide you with information that you request , and deliver content to you that is relevant to your interests .","If you use Fandango to give a gift , Fandango may use the email addresses you provide to send your gifts , and other communications relating to such transaction , and any further communications as may be authorized by the recipient .","We also may send information or offers to selected groups of Site or Service users on behalf of other businesses .","Under certain circumstances ( for example , if you win a contest ) we may post your Personally Identifiable Information on this Site ."
"We will notify you of this possibility when you provide the Personally Identifiable Information and if possible , when the Personally Identifiable Information is posted .","Cookies and similar tools may be used to relate your use of the Site or other Service and Non-Personally Identifiable Information to Personally Identifiable Information obtained from you .","If any Non-Personally Identifiable Information is linked with Personally Identifiable Information , the linked Non-Personally Identifiable Information will then be treated as Personally Identifiable Information .","Fandango also combines your usage information for the Site or other Service with that of other users ( `` Aggregate Information '' ) to determine which features and areas of the Site or other Service are most popular .","Aggregate Information does not contain any of your personally Identifiable Information ."
"By collecting and analyzing this data , Fandango can improve the Site or other Service .","Additionally , we may share this type of Non-Personally Identifiable Information with a variety of third parties , including our affiliates , agents , service providers and current and prospective business partners , for any purpose .","We may also enter into arrangements with outside companies that possess technology that allows us to customize the advertising and marketing messages you receive on this site .","Registration with us may be optional .","However , please keep in mind that you may not be able to use some of the features offered by the Application unless you register with us ."
"When you register with us and use the Application , you may provide some or all of the following : ( a ) your name , email address , user name , password and other registration information ; ( b ) transaction-related information , such as when you make purchases , respond to any offers , or download or use applications from us ; ( c ) information you provide us when you contact us for help ; and ( d ) information you enter into our system when using the Application , such as contact or credit card information .","We may also use the information you provided to us to contact you from time to time to provide you with important information , required notices and marketing promotions .","Automatically Collected Information In addition , the Application may collect certain information automatically , such as the type of mobile device you use , the unique device ID of your mobile device , the IP address of your mobile device , your mobile operating system , the type of mobile internet browser you use , and information about the way you use the Application .","You may at any time opt-out from further allowing us to have access to your location data by managing your location preferences in the `` My Account '' section of the Application or disabling the GPS services on your mobile device .","We may work with analytics companies to help us understand how the Application is being used , such as the frequency and duration of usage ."
"We work with advertisers and third party advertising networks , who need to know how you interact with advertising provided in the Application .","Advertisers and advertising networks use some of the information collected by the Application , including the unique identification ID of your mobile device and your mobile telephone number .","To protect the anonymity of this information , we use an encryption technology to help ensure that these third parties ca n't identify you personally .","These third parties may also obtain anonymous information about other applications you 've downloaded to your mobile device , the mobile websites you visit , your non-precise location information ( i.e . your zip code ) and other non-precise location information in order to help analyze and serve anonymous targeted advertising on the Application and elsewhere .","We may also share encrypted versions of information you have provided in order to enable our partners to append other available information about you for analysis or advertising-related use ."
"You can stop all collection of information by the Application by uninstalling the Application from your mobile device .","You may use the standard uninstall processes as may be available as part of your mobile device or via the mobile application marketplace or network .","You can also withdraw your consent to receive `` push '' notifications and/or to the collection of your physical location information at any time by disabling or changing the related functionality or setting as provided in your mobile device .","We do not have any desire to send unsolicited marketing emails to anyone without permission and we do not sell or provide user email addresses to any unauthorized third party in violation of this Policy .","All of our newsletters and other general email marketing communications also include an `` unsubscribe '' opt-out link that you may use to ask that we discontinue such emails to you ."
"Fandango reserves the right to share any Personally Identifiable Information or other information about you which you provide to ( or which is gathered from ) the Fandango Site or other Service with any or all of its subsidiaries and affiliates ( collectively , our `` Affiliates '' ) ( subject to the opt-out right described below , with respect to disclosures of Personally Identifiable Information to Affiliates for their direct marketing uses ) .","Subject to the applicable privacy policies under which such information was collected , Fandango may also have access to any information you provide to ( or which is gathered from ) the web sites of any of our Affiliates .","Like many businesses , we sometimes hire other companies to perform certain business-related functions on our behalf such as hosting specific portions of the Site or other Service , maintaining databases , administering contests , providing wireless services , providing fulfillment services , sending e-mails , and processing payments .","When we employ a third party to perform these functions , that third party will only be provided with the particular Personally Identifiable Information it needs to perform its function , and is required to protect the Personally Identifiable Information .","For third-party sponsored sweepstakes , contests or promotions , we may request Personally Identifiable Information from you that may be shared with the sponsor upon request ."
"If Fandango sells all or part of the Site and/or other Service or makes a sale or transfer of assets or is otherwise involved in a merger or business transfer , we may , in our sole discretion , transfer , sell or assign your Personally Identifiable Information to a third party as part of or in connection with that transaction .","Upon such transfer , the privacy policies of the acquiring entity may govern the further collection and use of your Personally Identifiable Information .","In addition , we may disclose Personally Identifiable Information under the following circumstances to : ( 1 ) protect our legal rights , privacy or safety , and those of our subsidiaries , affiliates , employees , agents and contractors ; ( 2 ) protect the safety and security of visitors to our web sites or other properties ; ( 3 ) protect against fraud or other illegal activity or for risk management purposes ; ( 4 ) respond to inquiries or requests from government , regulatory , law enforcement or public authorities ; ( 5 ) permit us to pursue available remedies , commence , participate in , or defend litigation , or limit the damages that we may sustain ; ( 6 ) enforce our Terms of Use ; or ( 7 ) comply with subpoenas , search warrants , the law or other legal process .","Fandango shares Aggregate Information with potential partners , advertisers , investors and other interested third parties in connection with the marketing of Fandango 's products and services .","However , Aggregate Information does not include any of your Personally Identifiable Information ."
"Fandango does not sell or rent your Personally Identifiable Information to third parties .","However , in the event that you expressly opt-in via the Site or other Service to receive particular products or services , or information about products or services , that are offered by third parties , or otherwise authorize us to do so , we may share your Personally Identifiable Information with those third parties as appropriate for those limited purposes .","Fandango may also share with those same third parties certain limited personal information that , without other information , does not specifically identify you .","Social Media Plug-Ins and Sharing with Other Sites You May Authorize","Social media plug-ins of social networks , which may include but are not limited to Facebook , Twitter , Tumblr and Pinterest , may be integrated into our Site and other Services ."
"If you are a member of a social network service or you use other Internet sites where you have authorized them to gather information about your online behavior on the Fandango Site or other Service , including your use of a plug-in or other participation in any behavioral reporting program that they may operate on or off of their own site , Fandango may share information regarding your activities on our Site or other Service with those third parties pursuant to your authorization , and they may associate that information with Personally Identifiable Information they already have about you ( such as your Facebook Profile ) and use it to improve their site or services or for other purposes .","Fandango does not control the privacy policies of such third parties , and their privacy policies will govern their use of your information once it has been transmitted by Fandango .","Fandango assumes no responsibility or liability for the actions of such third parties with respect to their use of your information or otherwise .","Accordingly , make sure you are aware of and comfortable with the privacy policies of any third parties that you authorize to gather information from Fandango .","During registration and certain purchases , and via the `` My Account '' section of our Site , you can set your email preferences with respect to receiving certain communications from Fandango and our partners ."
"In addition , all of our newsletters and other general email marketing communications also include an `` unsubscribe '' opt-out link that you may use to ask that we discontinue such emails to you .","THIRD PARTY ADVERTISING AND LINKS TO OTHER SITES","Fandango does not control the privacy policies of its advertisers or other third parties that have Web sites linked to the Site or other Service or with whom we may share your information in accordance with this Policy .","Fandango assumes no responsibility or liability for the actions of such third parties with respect to their use of your information or otherwise .","At various places on the Site or other Service , we may ask users for their age ."
"Children under 13 are expressly prohibited from submitting any Personally Identifiable Information ( as defined below ) to us , and if we discover that we have inadvertently gathered any such information from a child under 13 , we will take appropriate steps to delete it .","Individuals under the age of 18 should be especially careful not to provide any Personally Identifiable Information when participating in an area of the Site or other Service where posting might become public .","If you voluntarily disclose Personally Identifiable Information in a public area of the Site or other Service , such as a rating/review page , chat room or message board , that information may be collected and used by a third party to send you unsolicited messages , advertisements or for other purposes .","If you disclose Personally Identifiable Information in a public area , you do so at your own risk .","We maintain security measures in place in order to attempt to protect against the loss , misuse and alteration of the Personally Identifiable Information under our control ."
"Please be advised , however , that the Internet and other various networking communication media are not entirely secure , and your information may therefore be subject to interception or loss which is beyond our control .","While we strive to protect your Personally Identifiable Information , we can not ensure or warrant the security of any Personally Identifiable Information you transmit to us .","Accordingly , Fandango assumes no responsibility or liability for disclosure of your information ( personally identifiable or otherwise ) due to errors in transmission , unauthorized third-party access or other causes beyond Fandango 's reasonable control .","Please note that we do not represent or warrant that the Site or other Service is appropriate for use in any particular jurisdiction .","California Civil Code Section 1798.83 permits our visitors who are California residents to request certain information regarding our disclosure of personal information to third parties for their direct marketing purposes ."
"When you use the Site or other Service , you are accepting the terms and conditions of this Policy , and Fandango will have the right to use your Personally Identifiable Information or other information about you as described in this Policy .","From time to time , we may revise this Policy to reflect industry initiatives , changes in the law or technology , or changes in our practices regarding information collection and use .","You can determine when this Policy was last revised by referring to the `` Last Updated '' legend at the top of this page .","If you do not agree with the terms of this Policy , as it may be amended from time to time , please do not continue using the Site or other Service .","To the extent that an arbitrator or court of applicable jurisdiction determines that applying any changes to this Policy would render this an illusory or unenforceable contract , such changes shall be applicable on a prospective basis only , with respect to events or circumstances occurring after the date of such changes , to the extent necessary to avoid this Policy being deemed illusory or unenforceable ."
"Users can voluntarily decide whether or not to provide their consent for the data that they supply of their own free will to be included in the file that is the responsibility of FC BARCELONA , which is used to keep users informed , to offer them products and/or services both of FUTBOL CLUB BARCELONA itself and of other organizations that collaborate with the Club that , through agreement , may have some special offer that could be of interest to the members , supporters and internet users that have supplied their details .","The user is also willing for FC BARCELONA to be able to provide his or her personal details to third party collaborators in order for these to be able to make offers and/or send communications to users for commercial or promotional purposes in relation to products or services that could be of interest to them .","The user reserves the recognized right to access , cancel , rectify or oppose any of their details , and reserves the right to be told how many times these details have been supplied to others , if at all .","FC BARCELONA possesses the technical knowledge and means required for the processing of computer databases and the provision of certain services and possesses and employs the security measures required for proper data protection and security in accordance with the regulations established by Spanish Law 15/1999 , on the Protection of Data of a Personal Nature .","YOUR INFORMATION IS PROCESSED IN SWITZERLAND , AND MAY BE STORED AND USED ELSEWHERE DEPENDING ON THE LOCATION OF AFFILIATES , BUSINESS PARTNERS , AND OTHER ENTITIES WHO ARE PERMITTED TO ACCESS SUCH INFORMATION UNDER THE TERMS OF THIS PRIVACY POLICY ( AND SUCH LOCATIONS MAY INCLUDE COUNTRIES WHICH MAY NOT AFFORD THE SAME LEVEL OF PROTECTION OF SUCH DATA AS THE COUNTRY FROM WHICH YOU PROVIDED THE INFORMATION ) ."
"The information collected may include but is not limited to the following personal information : email address , last name , first name , country of residence , date of birth , gender , screen name , password , and opt-in for game and FIFA Content preferences .","In order to process some of Your transactions through the FIFA Digital Platforms , We may also ask for Your credit card number and billing information .","A cookie will typically contain the name of the domain from which the cookie has originated , the `` lifetime '' of the cookie and various values .","We further utilize session ID cookies to enable certain features of the FIFA Digital Platforms , to better understand how You interact with the FIFA Digital Platforms and to monitor aggregate usage by FIFA Digital Platforms ' users and web traffic routing on the FIFA Digital Platforms .","Please note that You can always choose to block cookies by updating Your Web browser privacy settings ."
"Please however take note that , if You block cookies , You may not be able to use all sections of the FIFA Digital Platforms or all functionality of the Services .","Other third parties that are presenting advertisements on or within the FIFA Digital Platforms may also set and use cookies to access Your computer .","Please refer specifically to each third party website and statements of privacy to understand their procedures for collecting , using and disclosing personal information through their cookies .","FIFA automatically collects some information about Your computer when You visit the FIFA Digital Platforms , regardless of whether You have registered for an account or not by just browsing Our servers .","We also may collect information about Your location or Your online activity on the FIFA Digital Platforms ."
"You may always revoke Your consent by deleting Your account .","FIFA may send information about You to third parties when :","However , the Internet is an open system and We can not guarantee that unauthorized third parties will never be able to defeat those measures or use Your information for improper purposes .","By sending sensitive or confidential email messages or information which are not encrypted You accept the risk of such uncertainty and possible lack of confidentiality over the Internet .","We may require You to provide verification of Your identity and to pay an administration fee to provide a copy of the information we hold ."
"Please note that in certain circumstances We may withhold access to Your information where We have the right to do so under current data protection legislation .","You may review , correct , update , change or delete Your personal information at any time by accessing Your account on The FIFA Digital Platforms .","If You choose to visit an advertiser or click on another third party link , You will be directed to that third party 's website .","We do not exercise control over third party websites and therefore recommend You examine the privacy statements posted on these other websites to understand their procedures for collecting , using and disclosing personal information .","We do not on purpose collect personally identifiable information from children under 13 ."
"This Privacy Policy may be amended from time to time .","The FIFA Website and/or the FIFA App may also provide notices of changes to this Privacy Policy or other matters by displaying notices or links to notices to You generally on or within the FIFA Digital Platforms .","Personally identifiable information is collected on our Web site only when voluntarily provided by the user .","They are especially necessary when ordering a product online .","Cookies are not related to any personally identifiable information and are not used to retrieve information from your computer that was not originally sent in a cookie ."
"Many browsers are set to accept cookies .","You may prefer to set your browser to refuse cookies .","It is possible , however , that some areas of this site will not function properly , if you do so .","This is especially likely when trying to order a product .","Other information collected on our Web site is not personally identifiable and is done so by our Web server in aggregate ."
"This information allows us to track general patterns , such as browser and platform usage and site traffic .","FP does not rent , sell , or otherwise make available to third parties the personally-identifiable information collected on our Web site ( other than in connection with magazine subscriptions ordered , as explained below ) without your express permission .","Occasionally , FP makes portions of its magazine subscription mailing list available to reputable companies and organizations whose products or services we feel may be of interest to you .","Many of our subscribers find this a valuable and timesaving service .","If you would rather not receive these mailings , please send us a request in writing at one of the addresses below asking us not to release your name to third parties ."
"You can determine when this Privacy Statement was last revised by referring to the date it was Last Updated above .","You can review the last version of this Privacy Statement here .","However , you can limit the information you provide to Groupon , and you can limit the communications that Groupon sends to you .","You can manage your email and notice preferences by logging into your account through the Groupon website , entering the My Stuff section , and selecting My Email Subscriptions , or via the Groupon mobile application , by selecting Project in your account options and then selecting Subscriptions .","You can also manage your subscriptions by following subscription management instructions contained in the commercial e-mails that we send you ."
"You may choose to subscribe to some types of messages , and may choose to unsubscribe from others .","You may update your subscription preferences at any time .","Please note that even if you unsubscribe from promotional email messages , we may still need to contact you with important transactional information related to your account and your purchases .","You may manage how your browser handles Cookies by adjusting its privacy and security settings .","Browsers are different , so refer to instructions related to your browser to learn about cookie-related and other privacy and security settings that may be available ."
"You can opt-out of being targeted by certain Third-Party Ad-Servers online using the National Advertising Initiative 's Opt-Out Tool , or on TRUSTe 's site .","You may manage how your mobile device and mobile browser share certain Device Data with Groupon , as well as how your mobile browser handles Cookies by adjusting the privacy and security settings on your mobile device .","Please refer to instructions provided by your mobile service provider or the manufacturer of your device to learn how to adjust your settings .","You may also manage the sharing of certain Personal Information with us when you connect with us through social networking platforms or applications .","Please refer to the privacy policy and settings of the social networking website or application to determine how you may adjust our permissions and manage the interactivity between Groupon and your social networking account or your mobile device ."
"If you wish to opt out of receiving offers directly from our Business Partners , you can follow the opt-out instructions in the emails that they send you .","Evaluate your eligibility for certain types of offers , products or services that may be of interest to you , and analyze advertising effectiveness ;","Communicate and provide additional information that may be of interest to you about Groupon and our Business Partners , sometimes by combining your information with information from Other Sources ;","Allow you to apply for a job , post a video or sign up for special offers from merchants , Business Partners , or third parties through the Site , and to","We also may use information collected as described in this Privacy Statement with your consent or as otherwise required or permitted by law ."
